"Open.Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths.FTHQ.","SqFt","LP...SqFt","LP","SP","HOD","Lot.Sz","YB","DOM","X..of.Units","Change.Date","latitude","longitude","unit_count","Units_used","Pred_Unit_Rent","GPR_Monthly","EGI_Monthly","EGI_Annual","Expense_Size_Band","Expense_Size_Multiplier","Est_Expense_per_Unit_Annual","Annual_Expenses_Total","NOI_Monthly","NOI_Annual","Price_Used","Cap_Rate","Cap_Rate_Pct","Vacancy_Assumed","Benchmark_Base_perUnit_Annual","Benchmark_Notes","Baths","year","month_num","quarter_3m","GRM"
NA,7,"21-781180",469,"INC","S","1158  W 10Th St ","POMONA",6,"3.00 (0 0 0 0)",1904,"$365.02",695000,695000,"","9,311",1965,45,3,2022-02-07,34.0501262,-117.7642396,NA,3,1862.04,5586.12,5306.814,63681.768,"<50",1.18,10030,30090,2799.314,33591.768,695000,0.0483334791366906,4.83334791366906,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2022,2,1,10.9136417192437
NA,10,"21-789932",1543,"INC","S","716  W Phillips ST ","ONTARIO",30,"45.00 (0 0 0 0)",17070,"$301.70",5150000,5250000,"","46,282",1984,87,15,2021-12-29,34.0497502,-117.6611072,NA,15,2049.97,30749.55,29212.0725,350544.87,"<50",1.18,10030,150450,16674.5725,200094.87,5250000,0.0381133085714286,3.81133085714286,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",45,2021,12,4,14.9766847251252
NA,20,"22-127753",1543,"INC","S","1225  N EL DORADO AVE ","ONTARIO",16,"22.00 (0 0 0 0)",11168,"$353.69",3950000,3750000,"","28,416",1968,48,17,2022-06-06,34.0803285,-117.6248244,NA,17,1564.54,26597.18,25267.321,303207.852,"<50",1.18,10030,170510,11058.1543333333,132697.852,3750000,0.0353860938666667,3.53860938666667,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",22,2022,6,2,12.3677535897058
NA,18,"22-128131",1795,"INC","S","455  S CAMPUS AVE ","UPLAND",26,"26.00 (0 0 0 0)",16388,"$292.90",4800000,4582644,"","31,500",1986,4,18,2022-04-22,34.0881479,-117.6414698,NA,18,1817.82,32720.76,31084.722,373016.664,"<50",1.18,10030,180540,16039.722,192476.664,4582644,0.0420012254934051,4.20012254934051,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",26,2022,4,2,12.2853599913166
NA,5,"22-134455",1543,"INC","S","827  N PALMETTO AVE ","ONTARIO",17,"14.00 (0 0 0 0)",10210,"$342.80",3500000,3500000,"","12,640",1966,61,14,2022-05-21,34.0726754,-117.6687473,NA,14,1725.37,24155.18,22947.421,275369.052,"<50",1.18,10030,140420,11245.7543333333,134949.052,3500000,0.038556872,3.8556872,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",14,2022,5,2,12.7102155255994
NA,39,"22-154355",1455,"INC","S","4661   KINGSLEY ST ","MONTCLAIR",4,"2.00 (0 0 0 0)",1728,"$436.92",755000,735000,"","7,137",1964,136,2,2022-10-26,34.0667205,-117.7035363,NA,2,2026.17,4052.34,3849.723,46196.676,"<50",1.18,10030,20060,2178.05633333333,26136.676,735000,0.0355601034013605,3.55601034013605,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2022,10,4,15.9102356195498
NA,25,"22-160265",1455,"INC","S","5125   BANDERA ST #A-L","MONTCLAIR",24,"12.00 (0 0 0 0)",10044,"$433.09",4350000,4321500,"","30,800",1963,147,12,2022-11-02,34.064976,-117.6932194,NA,12,1957.93,23495.16,22320.402,267844.824,"<50",1.18,10030,120360,12290.402,147484.824,4321500,0.034128155501562,3.4128155501562,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",12,2022,11,4,16.1343420248435
NA,17,"22-190707",1795,"INC","S","165   Wiseman Way ","UPLAND",10,"6.00 (0 0 0 0)",4109,"$350.21",1439000,1363000,"","16,861",1985,28,4,2022-10-27,34.0957043,-117.6556894,NA,4,2203.03,8812.12,8371.514,100458.168,"<50",1.18,10030,40120,5028.18066666667,60338.168,1363000,0.0442686485693324,4.42686485693324,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2022,10,4,13.5678365147969
NA,1,"220002580SD",469,"INC","S","826   Gordon St ","POMONA",5,"3.00 (0 0 0 0)",NA,"$0",649900,570000,"","13,096",NA,7,2,2022-03-03,34.0658623,-117.7535049,NA,2,2180.97,4361.94,4143.843,49726.116,"<50",1.18,10030,20060,2472.17633333333,29666.116,570000,0.0520458175438596,5.20458175438596,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2022,3,1,11.4627894927486
NA,34,"6600PF",1543,"INC","S","522  E State ST ","ONTARIO",NA,"2.00 (0 0 0 0)",1312,"$342.99",450000,450000,"$0.00","6,160",1924,91,2,2022-01-28,34.0599916,-117.64546,NA,2,1909.68,3819.36,3628.392,43540.704,"<50",1.18,10030,20060,1956.72533333333,23480.704,450000,0.0521793422222222,5.21793422222222,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2022,1,1,10.3351567305848
NA,31,"81941401ML",2081,"INC","S","1185  S Towne AVE ","POMONA",NA," (0 0 0 0)",7266,"$109.96",799000,820000,"","7,266",NA,23,NA,2023-10-24,34.0491774,-117.7411873,NA,1,2319.54,2319.54,2203.563,26442.756,"<50",1.18,10030,10030,1367.72966666667,16412.756,820000,0.020015556097561,2.0015556097561,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",NA,2023,10,4,31.0103833352318
NA,2,"AR21081259MR",1543,"INC","S","10792   Grand AVE ","ONTARIO",2,"2.00 (2 0 0 0)",1260,"$341.09",429777,300000,"$0.00","6,250",1925,40,NA,2021-07-02,NA,NA,NA,1,1991.14,1991.14,1891.583,22698.996,"<50",1.18,10030,10030,1055.74966666667,12668.996,300000,0.0422299866666667,4.22299866666667,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2021,7,3,13.21644358191
NA,5,"AR21188002MR",1543,"INC","S","1020  W F ST ","ONTARIO",NA,"6.00 (0 0 0 0)",4868,"$307.72",1498000,1450000,"$0.00","10,125",1957,47,6,2021-11-17,34.0697691,-117.6674237,NA,6,1913.49,11480.94,10906.893,130882.716,"<50",1.18,10030,60180,5891.893,70702.716,1450000,0.0487604937931034,4.87604937931034,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2021,11,4,11.0786209540456
NA,1,"AR21196297MR",1795,"INC","S","591  E 9th St ","UPLAND",NA," (0 0 0 0)",1040,"$552.88",575000,575000,"","8,418",1926,17,2,2021-10-18,34.0961696,-117.6474418,NA,2,1859.4,3718.8,3532.86,42394.32,"<50",1.18,10030,20060,1861.19333333333,22334.32,575000,0.0388422956521739,3.88422956521739,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",NA,2021,10,4,13.5631377033527
NA,16,"AR21246835MR",469,"INC","S","685   Abbey LN ","POMONA",NA,"4.00 (0 0 0 0)",3592,"$300.67",1080000,1080000,"","7,470",1961,76,4,2022-03-26,34.0660818,-117.722404,NA,4,2096.98,8387.92,7968.524,95622.288,"<50",1.18,10030,40120,4625.19066666667,55502.288,1080000,0.0513910074074074,5.13910074074074,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",4,2022,3,1,11.2944379661779
NA,15,"AR21246841MR",469,"INC","S","687   Karesh AVE ","POMONA",NA,"6.00 (0 0 0 0)",3838,"$338.72",1300000,1237500,"","7,215",1960,39,6,2022-04-15,34.0655455,-117.7229699,NA,6,1929.81,11578.86,10999.917,131999.004,"<50",1.18,10030,60180,5984.917,71819.004,1237500,0.0580355587878788,5.80355587878788,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2022,4,2,9.37507073917012
NA,8,"AR22018651MR",487,"INC","S","443  N Cambridge AVE ","CLAREMONT",NA,"2.00 (0 0 0 0)",1665,"$555.56",925000,940000,"","8,080",1952,9,2,2022-04-01,34.0922892,-117.7278481,NA,2,2165.03,4330.06,4113.557,49362.684,"<50",1.18,10030,20060,2441.89033333333,29302.684,940000,0.0311730680851064,3.11730680851064,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2022,4,2,19.0427246622165
NA,11,"AR23009737MR",1543,"INC","S","425  W Sunkist ST ","ONTARIO",3,"2.00 (0 0 0 0)",1540,"$509.74",785000,780000,"","5,390",1924,17,3,2023-04-02,34.0578163,-117.6550852,NA,3,1608.08,4824.24,4583.028,54996.336,"<50",1.18,10030,30090,2075.528,24906.336,780000,0.0319312,3.19312,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2023,4,2,14.1827630117032
NA,22,"AR23067336MR",469,"INC","S","2511   Yorkshire WAY #2","POMONA",7,"6.00 (0 0 0 0)",3756,"$211.66",795000,830000,"$0.00","9,121",1964,10,3,2023-07-03,34.0913048,-117.7380996,NA,3,2187.42,6562.26,6234.147,74809.764,"<50",1.18,10030,30090,3726.647,44719.764,830000,0.0538792337349398,5.38792337349398,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2023,7,3,11.0948084263439
NA,48,"AR23202472MR",469,"INC","S","185  E 11th ST ","POMONA",7,"4.00 (0 0 0 0)",3051,"$353.98",1080000,1080000,"$0.00","15,549",1901,24,3,2023-12-07,34.0497627,-117.7490194,NA,3,2167.41,6502.23,6177.1185,74125.422,"<50",1.18,10030,30090,3669.6185,44035.422,1080000,0.0407735388888889,4.07735388888889,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",4,2023,12,4,14.5699001888988
NA,8,"AR23225412MR",469,"INC","S","515  E Pasadena ST ","POMONA",3,"2.00 (0 0 0 0)",4242,"$280.53",1190000,1190000,"","9,025",1927,43,7,2024-03-11,34.063981,-117.7411063,NA,7,1659.8,11618.6,11037.67,132452.04,"<50",1.18,10030,70210,5186.83666666667,62242.04,1190000,0.0523042352941177,5.23042352941177,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2024,3,1,8.98438408347655
NA,29,"AR24011306MR",1543,"INC","S","1369  S Euclid AVE ","ONTARIO",2,"1.00 (0 0 0 0)",1059,"$660.06",699000,699000,"","11,820",1939,34,1,2024-03-26,34.0485052,-117.6506633,NA,1,2085.15,2085.15,1980.8925,23770.71,"<50",1.18,10030,10030,1145.05916666667,13740.71,699000,0.0196576680972818,1.96576680972818,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",1,2024,3,1,29.4059369703303
NA,10,"AR24032950MR",469,"INC","S","2511   Yorkshire WAY #2","POMONA",7,"6.00 (0 0 0 0)",3756,"$306.18",1150000,1110000,"$0.00","9,121",1964,53,3,2024-04-29,34.0913048,-117.7380996,NA,3,2183.65,6550.95,6223.4025,74680.83,"<50",1.18,10030,30090,3715.9025,44590.83,1110000,0.0401719189189189,4.01719189189189,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2024,4,2,14.8632520554472
NA,27,"AR24034750MR",469,"INC","S","1303 1305 E Kingsley AVE ","POMONA",4,"2.00 (0 0 0 0)",1768,"$395.93",700000,730000,"$0.00","8,387",1953,10,2,2024-04-08,34.0667696,-117.725337,NA,2,2109.23,4218.46,4007.537,48090.444,"<50",1.18,10030,20060,2335.87033333333,28030.444,730000,0.0383978684931507,3.83978684931507,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2024,4,2,15.1797309253373
NA,38,"BB23007339MR",469,"INC","S","561  E Pasadena ST ","POMONA",5,"4.00 (0 0 0 0)",2670,"$317.98",849000,849000,"","10,074",1909,64,3,2023-04-21,34.0640138,-117.7399343,NA,3,1855.68,5567.04,5288.688,63464.256,"<50",1.18,10030,30090,2781.188,33374.256,849000,0.0393100777385159,3.93100777385159,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",4,2023,4,2,13.377608964643
NA,NA,"COMP23107192",487,"INC","S","140  N MOUNTAIN AVE ","CLAREMONT",8,"8.00 (8 0 0 0)",3959,"$3,043.70",12050000,12050000,"","16,176",1969,0,4,2023-03-06,34.0865513,-117.7279985,NA,4,2148.58,8594.32,8164.604,97975.248,"<50",1.18,10030,40120,4821.27066666667,57855.248,12050000,0.00480126539419087,0.480126539419087,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2023,3,1,122.99024749598
NA,NA,"COMP23107223",487,"INC","S","160  N MOUNTAIN AVE ","CLAREMONT",8,"8.00 (8 0 0 0)",3959,"$3,043.70",12050000,12050000,"","20,319",1969,0,4,2023-03-06,34.0783732,-117.7279834,NA,4,2126.46,8505.84,8080.548,96966.576,"<50",1.18,10030,40120,4737.21466666667,56846.576,12050000,0.00471755817427386,0.471755817427386,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2023,3,1,124.269624617868
NA,NA,"COMP23107225",487,"INC","S","110  N MOUNTAIN AVE ","CLAREMONT",8,"8.00 (8 0 0 0)",3959,"$3,043.70",12050000,12050000,"","24,062",1969,0,4,2023-03-06,34.0865513,-117.7279985,NA,4,2149.45,8597.8,8167.91,98014.92,"<50",1.18,10030,40120,4824.57666666667,57894.92,12050000,0.00480455767634855,0.480455767634855,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2023,3,1,122.940466614675
NA,NA,"COMP23107260",487,"INC","S","139  N CAMBRIDGE AVE ","CLAREMONT",10,"10.00 (10 0 0 0)",4931,"$2,443.72",12050000,12050000,"","19,106",1969,0,5,2023-03-06,34.0945047,-117.7276918,NA,5,2135.8,10679,10145.05,121740.6,"<50",1.18,10030,50150,5965.88333333333,71590.6,12050000,0.00594112863070539,0.594112863070539,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",10,2023,3,1,98.980948015699
NA,NA,"COMP23107284",487,"INC","S","129  N CAMBRIDGE AVE ","CLAREMONT",10,"10.00 (10 0 0 0)",4931,"$2,443.72",12050000,12050000,"","19,185",1969,0,5,2023-03-06,34.094399,-117.7276892,NA,5,2135.8,10679,10145.05,121740.6,"<50",1.18,10030,50150,5965.88333333333,71590.6,12050000,0.00594112863070539,0.594112863070539,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",10,2023,3,1,98.980948015699
NA,NA,"COMP23107290",487,"INC","S","150  N MOUNTAIN AVE ","CLAREMONT",8,"8.00 (8 0 0 0)",3959,"$3,043.70",12050000,12050000,"","16,225",1969,0,4,2023-03-06,34.0865513,-117.7279985,NA,4,2148.58,8594.32,8164.604,97975.248,"<50",1.18,10030,40120,4821.27066666667,57855.248,12050000,0.00480126539419087,0.480126539419087,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2023,3,1,122.99024749598
NA,NA,"COMP23107293",487,"INC","S","120  N MOUNTAIN AVE ","CLAREMONT",8,"8.00 (8 0 0 0)",3959,"$3,043.70",12050000,12050000,"","16,597",1969,0,4,2023-03-06,34.0865513,-117.7279985,NA,4,2148.58,8594.32,8164.604,97975.248,"<50",1.18,10030,40120,4821.27066666667,57855.248,12050000,0.00480126539419087,0.480126539419087,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2023,3,1,122.99024749598
NA,NA,"COMP23107312",487,"INC","S","109  N CAMBRIDGE AVE ","CLAREMONT",10,"10.00 (10 0 0 0)",4931,"$2,443.72",12050000,12050000,"","25,586",1969,0,5,2023-03-06,34.0941876,-117.7276903,NA,5,2134.99,10674.95,10141.2025,121694.43,"<50",1.18,10030,50150,5962.03583333333,71544.43,12050000,0.00593729709543568,0.593729709543568,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",10,2023,3,1,99.018500682406
NA,NA,"COMP23107350",487,"INC","S","130  N MOUNTAIN AVE ","CLAREMONT",NA," (0 0 0 0)",990,"$12,171.72",12050000,12050000,"","21,622",1969,0,NA,2023-03-06,34.0865513,-117.7279985,NA,1,2217.58,2217.58,2106.701,25280.412,"<50",1.18,10030,10030,1270.86766666667,15250.412,12050000,0.00126559435684647,0.126559435684647,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",NA,2023,3,1,476.653624157708
NA,NA,"COMP23107351",487,"INC","S","119  N CAMBRIDGE AVE ","CLAREMONT",10,"10.00 (10 0 0 0)",4931,"$2,443.72",12050000,12050000,"","19,756",1969,0,5,2023-03-06,34.0942933,-117.7276875,NA,5,2135.21,10676.05,10142.2475,121706.97,"<50",1.18,10030,50150,5963.08083333333,71556.97,12050000,0.0059383377593361,0.59383377593361,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",10,2023,3,1,99.0082983743659
NA,NA,"COMP23107441",469,"INC","S","556  N EAST END AVE ","POMONA",4,"2.00 (2 0 0 0)",1864,"$386.27",720000,720000,"","7,771",1940,0,2,2023-03-07,34.0637604,-117.723816,NA,2,2063.25,4126.5,3920.175,47042.1,"<50",1.18,10030,20060,2248.50833333333,26982.1,720000,0.0374751388888889,3.74751388888889,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2023,3,1,15.3054391704452
NA,NA,"COMP23107662",469,"INC","S","1657   ALAMEDA ST ","POMONA",16,"10.00 (10 0 0 0)",7546,"$291.55",2200000,2200000,"","14,532",1958,0,10,2023-03-07,34.0775631,-117.7561947,NA,10,1824.66,18246.6,17334.27,208011.24,"<50",1.18,10030,100300,8975.93666666667,107711.24,2200000,0.0489596545454545,4.89596545454545,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",10,2023,3,1,10.5763515471568
NA,NA,"COMP23107890",469,"INC","S","2452   ANGELA ST ","POMONA",8,"5.00 (5 0 0 0)",3818,"$282.87",1080000,1080000,"","7,727",1963,0,4,2023-03-07,34.0278719,-117.7463302,NA,4,2105.53,8422.12,8001.014,96012.168,"<50",1.18,10030,40120,4657.68066666667,55892.168,1080000,0.0517520074074074,5.17520074074074,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",5,2023,3,1,11.2485742432147
NA,NA,"COMP23108841",469,"INC","S","935   PAINTER CT ","POMONA",12,"6.00 (6 0 0 0)",5324,"$4,742.67",25250000,25250000,"","13,053",1964,0,6,2023-03-07,34.0463759,-117.7382263,NA,6,2047.23,12283.38,11669.211,140030.532,"<50",1.18,10030,60180,6654.211,79850.532,25250000,0.00316239730693069,0.316239730693069,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2023,3,1,180.31781811698
NA,NA,"COMP23109107",469,"INC","S","500   SAN FRANCISCO AVE ","POMONA",20,"14.00 (14 0 0 0)",10188,"$196.31",2000000,2000000,"","14,681",1964,0,13,2023-03-07,34.065007,-117.743692,NA,13,1885.2,24507.6,23282.22,279386.64,"<50",1.18,10030,130390,12416.3866666667,148996.64,2000000,0.07449832,7.449832,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",14,2023,3,1,7.15853843261797
NA,NA,"COMP23109164",469,"INC","S","750  E 3RD ST ","POMONA",287,"239.00 (239 0 0 0)",179704,"$831.37",149400000,149400000,"","331,702",1987,0,280,2023-03-07,34.057183,-117.743014,NA,280,1804.74,505327.2,480060.84,5760730.08,"200+",0.91,7735,2165800,299577.506666667,3594930.08,149400000,0.024062450334672,2.4062450334672,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",239,2023,3,1,25.9342128385227
NA,NA,"COMP23109846",469,"INC","S","1306   PACKARD DR ","POMONA",12,"6.00 (6 0 0 0)",5324,"$4,742.67",25250000,25250000,"","13,213",1964,0,6,2023-03-07,34.0469634,-117.7378164,NA,6,2047.23,12283.38,11669.211,140030.532,"<50",1.18,10030,60180,6654.211,79850.532,25250000,0.00316239730693069,0.316239730693069,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2023,3,1,180.31781811698
NA,NA,"COMP23109920",469,"INC","S","1936   ROYALTY DR ","POMONA",4,"2.00 (2 0 0 0)",2016,"$1,829.12",3687500,3687500,"","7,363",1963,0,2,2023-03-07,34.0793289,-117.7449912,NA,2,2147,4294,4079.3,48951.6,"<50",1.18,10030,20060,2407.63333333333,28891.6,3687500,0.00783501016949152,0.783501016949153,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2023,3,1,75.3295091478113
NA,NA,"COMP23110637",469,"INC","S","252  W WILLOW ST ","POMONA",4,"2.00 (2 0 0 0)",1576,"$456.85",720000,720000,"","8,022",1946,0,2,2023-03-07,34.0803391,-117.756246,NA,2,2075.32,4150.64,3943.108,47317.296,"<50",1.18,10030,20060,2271.44133333333,27257.296,720000,0.0378573555555556,3.78573555555556,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2023,3,1,15.2164231869885
NA,NA,"COMP23111103",469,"INC","S","1542   HOLLY WAY ","POMONA",8,"4.00 (4 0 0 0)",4400,"$1,709.09",7520000,7520000,"","9,833",1964,0,4,2023-03-07,34.043794,-117.7347996,NA,4,2090.44,8361.76,7943.672,95324.064,"<50",1.18,10030,40120,4600.33866666667,55204.064,7520000,0.00734096595744681,0.734096595744681,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",4,2023,3,1,78.8887892987861
NA,NA,"COMP23111854",469,"INC","S","1925   ROYALTY DR #27","POMONA",4,"4.00 (4 0 0 0)",1976,"$1,866.14",3687500,3687500,"","7,372",1963,0,2,2023-03-07,34.0792865,-117.7452293,NA,2,2122.58,4245.16,4032.902,48394.824,"<50",1.18,10030,20060,2361.23533333333,28334.824,3687500,0.00768402006779661,0.768402006779661,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",4,2023,3,1,76.1961651105499
NA,NA,"COMP23112265",469,"INC","S","1506   HOLLY WAY ","POMONA",8,"4.00 (4 0 0 0)",4400,"$1,709.09",7520000,7520000,"","11,280",1964,0,4,2023-03-07,34.044352,-117.7348128,NA,4,2084.8,8339.2,7922.24,95066.88,"<50",1.18,10030,40120,4578.90666666667,54946.88,7520000,0.00730676595744681,0.730676595744681,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",4,2023,3,1,79.1022067832667
NA,NA,"COMP23112308",469,"INC","S","795  N PARK AVE ","POMONA",7,"4.00 (4 0 0 0)",3153,"$158.58",500000,500000,"","13,016",1910,0,4,2023-03-07,34.0658194,-117.7548912,NA,4,1881.78,7527.12,7150.764,85809.168,"<50",1.18,10030,40120,3807.43066666667,45689.168,500000,0.091378336,9.1378336,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",4,2023,3,1,5.82688320669885
NA,NA,"COMP23112975",469,"INC","S","938  E GRAND AVE ","POMONA",6,"3.00 (3 0 0 0)",2662,"$9,485.35",25250000,25250000,"","7,781",1964,0,3,2023-03-07,34.0480453,-117.7379122,NA,3,2110.69,6332.07,6015.4665,72185.598,"<50",1.18,10030,30090,3507.9665,42095.598,25250000,0.0016671523960396,0.16671523960396,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2023,3,1,349.792766141523
NA,NA,"COMP23113386",487,"INC","S","765   BAYLOR AVE ","CLAREMONT",NA," (0 0 0 0)",7624,"$695.17",5300000,5300000,"","24,582",1955,0,11,2023-03-07,34.0974468,-117.7279959,NA,11,2104.66,23151.26,21993.697,263924.364,"<50",1.18,10030,110330,12799.5303333333,153594.364,5300000,0.0289800686792453,2.89800686792453,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",NA,2023,3,1,20.0815109286386
NA,NA,"COMP23114037",469,"INC","S","696   WISCONSIN ST ","POMONA",6,"5.00 (5 0 0 0)",3177,"$629.52",2000000,2000000,"","7,062",1960,0,5,2023-03-07,34.0644889,-117.7562818,NA,5,1739.63,8698.15,8263.2425,99158.91,"<50",1.18,10030,50150,4084.07583333333,49008.91,2000000,0.024504455,2.4504455,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",5,2023,3,1,20.1696448660035
NA,NA,"COMP23114386",469,"INC","S","559   LINCOLN AVE ","POMONA",7,"5.00 (5 0 0 0)",3164,"$211.76",670000,670000,"","14,572",1923,0,4,2023-03-07,34.0707878,-117.7424951,NA,4,1898.16,7592.64,7213.008,86556.096,"<50",1.18,10030,40120,3869.67466666667,46436.096,670000,0.0693076059701492,6.93076059701492,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",5,2023,3,1,7.7406448645743
NA,NA,"COMP23114539",469,"INC","S","903   PAINTER CT ","POMONA",18,"9.00 (9 0 0 0)",7734,"$3,264.80",25250000,25250000,"","19,196",1964,0,9,2023-03-07,34.0463713,-117.738371,NA,9,2005.49,18049.41,17146.9395,205763.274,"<50",1.18,10030,90270,9624.4395,115493.274,25250000,0.00457399104950495,0.457399104950495,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",9,2023,3,1,122.713832790199
NA,NA,"COMP23114619",469,"INC","S","1333   PACKARD DR ","POMONA",18,"9.00 (9 0 0 0)",7860,"$3,212.47",25250000,25250000,"","19,185",1964,0,9,2023-03-07,34.0472848,-117.7386028,NA,9,2017.37,18156.33,17248.5135,206982.162,"<50",1.18,10030,90270,9726.0135,116712.162,25250000,0.00462226384158416,0.462226384158416,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",9,2023,3,1,121.991188786597
NA,NA,"COMP23114883",469,"INC","S","2385   CHANSLOR ST ","POMONA",8,"5.00 (5 0 0 0)",3916,"$197.91",775000,775000,"","7,434",1964,0,4,2023-03-07,34.0280653,-117.7453532,NA,4,2134.28,8537.12,8110.264,97323.168,"<50",1.18,10030,40120,4766.93066666667,57203.168,775000,0.0738105393548387,7.38105393548387,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",5,2023,3,1,7.9631604265081
NA,NA,"COMP23115776",469,"INC","S","309  N GORDON ST ","POMONA",1,"1.00 (1 0 0 0)",560,"$1,558.93",873000,873000,"","8,205",1923,0,1,2023-03-07,34.0611852,-117.7536317,NA,1,1694,1694,1609.3,19311.6,"<50",1.18,10030,10030,773.466666666667,9281.6,873000,0.0106318442153494,1.06318442153494,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",1,2023,3,1,45.2059901820667
NA,NA,"COMP23115779",469,"INC","S","1043  E GRAND AVE ","POMONA",2,"2.00 (2 0 0 0)",1296,"$420.52",545000,545000,"","15,086",1926,0,2,2023-03-07,34.0482656,-117.735762,NA,2,1684.25,3368.5,3200.075,38400.9,"<50",1.18,10030,20060,1528.40833333333,18340.9,545000,0.0336530275229358,3.36530275229358,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2023,3,1,14.1923756995279
NA,NA,"COMP23115962",487,"INC","S","755   BAYLOR AVE ","CLAREMONT",6,"5.00 (5 0 0 0)",3806,"$1,392.54",5300000,5300000,"","12,448",1954,0,5,2023-03-07,34.0974506,-117.7281353,NA,5,1938.08,9690.4,9205.88,110470.56,"<50",1.18,10030,50150,5026.71333333333,60320.56,5300000,0.0113812377358491,1.13812377358491,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",5,2023,3,1,47.9765830824068
